,English Name,Scientific Name,SoIB 2023 Priority Status,Order,Family,Endemicity,Habitat Specialization,IUCN Category,CITES Appendix,source
176,Western Reef Egret,Egretta gularis,High,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
177,Cattle Egret,Bubulcus ibis,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
178,Indian Pond Heron,Ardeola grayii,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
179,Striated Heron,Butorides striata,Moderate,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
180,Black-crowned Night Heron,Nycticorax nycticorax,Low,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Non-endemic,Wetland,Least Concern,,West_Bengal
181,Glossy Ibis,Plegadis falcinellus,Low,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Non-endemic,Wetland,Least Concern,,West_Bengal
182,Black-headed Ibis,Threskiornis melanocephalus,Low,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Non-endemic,Wetland,Near Threatened,,West_Bengal
183,Red-naped Ibis,Pseudibis papillosa,Low,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
184,Eurasian Spoonbill,Platalea leucorodia,High,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Non-endemic,Wetland,Least Concern,,West_Bengal
185,Osprey,Pandion haliaetus,High,Accipitriformes,Pandionidae (Osprey),Non-endemic,Wetland,Least Concern,Appendix II,West_Bengal
186,Black-winged Kite,Elanus caeruleus,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
187,Bearded Vulture,Gypaetus barbatus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Near Threatened,Appendix II,West_Bengal
188,Egyptian Vulture,Neophron percnopterus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Endangered,Appendix II,West_Bengal
189,Oriental Honey Buzzard,Pernis ptilorhynchus,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest & Plantation,Least Concern,Appendix II,West_Bengal
190,Jerdon's Baza,Aviceda jerdoni,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
191,Black Baza,Aviceda leuphotes,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
192,Red-headed Vulture,Sarcogyps calvus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Critically Endangered,Appendix II,West_Bengal
193,Cinereous Vulture,Aegypius monachus,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Near Threatened,Appendix II,West_Bengal
194,White-rumped Vulture,Gyps bengalensis,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Critically Endangered,Appendix II,West_Bengal
195,Indian Vulture,Gyps indicus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Indian Subcontinent,Forest & Plantation,Critically Endangered,Appendix II,West_Bengal
196,Slender-billed Vulture,Gyps tenuirostris,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Critically Endangered,Appendix II,West_Bengal
197,Himalayan Vulture,Gyps himalayensis,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Near Threatened,Appendix II,West_Bengal
198,Griffon Vulture,Gyps fulvus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
199,Crested Serpent Eagle,Spilornis cheela,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
200,Short-toed Snake Eagle,Circaetus gallicus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
201,Changeable Hawk Eagle,Nisaetus cirrhatus,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
202,Mountain Hawk Eagle,Nisaetus nipalensis,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Near Threatened,Appendix II,West_Bengal
203,Rufous-bellied Eagle,Lophotriorchis kienerii,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Near Threatened,Appendix II,West_Bengal
204,Black Eagle,Ictinaetus malaiensis,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
205,Indian Spotted Eagle,Clanga hastata,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Vulnerable,Appendix II,West_Bengal
206,Greater Spotted Eagle,Clanga clanga,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Vulnerable,Appendix II,West_Bengal
207,Booted Eagle,Hieraaetus pennatus,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
208,Steppe Eagle,Aquila nipalensis,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Endangered,Appendix II,West_Bengal
209,Golden Eagle,Aquila chrysaetos,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Alpine & Cold Desert,Least Concern,Appendix II,West_Bengal
210,Bonelli's Eagle,Aquila fasciata,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
211,White-eyed Buzzard,Butastur teesa,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
212,Western Marsh Harrier,Circus aeruginosus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
213,Hen Harrier,Circus cyaneus,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
214,Pallid Harrier,Circus macrourus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Grassland,Near Threatened,Appendix II,West_Bengal
215,Pied Harrier,Circus melanoleucos,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
216,Crested Goshawk,Accipiter trivirgatus,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
217,Shikra,Accipiter badius,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
218,Besra,Accipiter virgatus,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
219,Eurasian Sparrowhawk,Accipiter nisus,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
220,Black Kite,Milvus migrans,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
221,Brahminy Kite,Haliastur indus,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Wetland,Least Concern,Appendix II,West_Bengal
222,Pallas's Fish Eagle,Haliaeetus leucoryphus,High,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Wetland,Endangered,Appendix II,West_Bengal
223,White-bellied Sea Eagle,Haliaeetus leucogaster,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Wetland,Least Concern,Appendix II,West_Bengal
224,Lesser Fish Eagle,Haliaeetus humilis,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Wetland,Near Threatened,Appendix II,West_Bengal
225,Grey-headed Fish Eagle,Haliaeetus ichthyaetus,Moderate,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Wetland,Near Threatened,Appendix II,West_Bengal
226,Common Buzzard,Buteo buteo,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
227,Long-legged Buzzard,Buteo rufinus,Low,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
228,Brown Fish Owl,Ketupa zeylonensis,Moderate,Strigiformes,Strigidae (Owls),Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
229,Asian Barred Owlet,Glaucidium cuculoides,Low,Strigiformes,Strigidae (Owls),Non-endemic,Non-specialized,Least Concern,Appendix II,West_Bengal
230,Jungle Owlet,Glaucidium radiatum,Low,Strigiformes,Strigidae (Owls),Indian Subcontinent,Forest & Plantation,Least Concern,Appendix II,West_Bengal
231,Collared Owlet,Taenioptynx brodiei,Low,Strigiformes,Strigidae (Owls),Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
232,Short-eared Owl,Asio flammeus,Low,Strigiformes,Strigidae (Owls),Non-endemic,Grassland,Least Concern,Appendix II,West_Bengal
233,Red-headed Trogon,Harpactes erythrocephalus,Low,Trogoniformes,Trogonidae (Trogons),Non-endemic,Forest,Least Concern,,West_Bengal
234,Ward's Trogon,Harpactes wardi,Moderate,Trogoniformes,Trogonidae (Trogons),Eastern Himalayas,Forest,Near Threatened,,West_Bengal
235,Eurasian Hoopoe,Upupa epops,Moderate,Bucerotiformes,Upupidae (Hoopoes),Non-endemic,Non-specialized,Least Concern,,West_Bengal
236,Great Hornbill,Buceros bicornis,Low,Bucerotiformes,Bucerotidae (Hornbills),Non-endemic,Forest,Vulnerable,Appendix I,West_Bengal
237,Indian Grey Hornbill,Ocyceros birostris,Low,Bucerotiformes,Bucerotidae (Hornbills),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
238,Malabar Pied Hornbill,Anthracoceros coronatus,Moderate,Bucerotiformes,Bucerotidae (Hornbills),Indian Subcontinent,Forest & Plantation,Near Threatened,Appendix II,West_Bengal
239,Oriental Pied Hornbill,Anthracoceros albirostris,Low,Bucerotiformes,Bucerotidae (Hornbills),Non-endemic,Forest & Plantation,Least Concern,Appendix II,West_Bengal
240,Rufous-necked Hornbill,Aceros nipalensis,High,Bucerotiformes,Bucerotidae (Hornbills),Non-endemic,Forest,Vulnerable,Appendix I,West_Bengal
241,Wreathed Hornbill,Rhyticeros undulatus,High,Bucerotiformes,Bucerotidae (Hornbills),Non-endemic,Forest,Vulnerable,Appendix II,West_Bengal
242,Common Kingfisher,Alcedo atthis,Low,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Wetland,Least Concern,,West_Bengal
243,Blue-eared Kingfisher,Alcedo meninting,Low,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Forest,Least Concern,,West_Bengal
244,Brown-winged Kingfisher,Pelargopsis amauroptera,High,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Wetland,Near Threatened,,West_Bengal
245,Stork-billed Kingfisher,Pelargopsis capensis,Low,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Wetland,Least Concern,,West_Bengal
246,Ruddy Kingfisher,Halcyon coromanda,Moderate,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Forest,Least Concern,,West_Bengal
247,White-throated Kingfisher,Halcyon smyrnensis,Low,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
248,Black-capped Kingfisher,Halcyon pileata,High,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Wetland,Vulnerable,,West_Bengal
249,Collared Kingfisher,Todiramphus chloris,Moderate,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Forest,Least Concern,,West_Bengal
250,Crested Kingfisher,Megaceryle lugubris,Moderate,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Wetland,Least Concern,,West_Bengal
251,Pied Kingfisher,Ceryle rudis,Moderate,Coraciiformes,Alcedinidae (Kingfishers),Non-endemic,Wetland,Least Concern,,West_Bengal
252,Blue-bearded Bee-eater,Nyctyornis athertoni,Low,Coraciiformes,Meropidae (Bee-eaters),Non-endemic,Forest,Least Concern,,West_Bengal
253,Green Bee-eater,Merops orientalis,Low,Coraciiformes,Meropidae (Bee-eaters),Non-endemic,Non-specialized,Least Concern,,West_Bengal
254,Blue-tailed Bee-eater,Merops philippinus,Low,Coraciiformes,Meropidae (Bee-eaters),Non-endemic,Open Habitat,Least Concern,,West_Bengal
255,Chestnut-headed Bee-eater,Merops leschenaulti,Low,Coraciiformes,Meropidae (Bee-eaters),Non-endemic,Forest,Least Concern,,West_Bengal
256,Indian Roller,Coracias benghalensis,Moderate,Coraciiformes,Coraciidae (Rollers),Non-endemic,Open Habitat,Least Concern,,West_Bengal
257,Indochinese Roller,Coracias affinis,Low,Coraciiformes,Coraciidae (Rollers),Non-endemic,Open Habitat,Least Concern,,West_Bengal
258,Dollarbird,Eurystomus orientalis,Low,Coraciiformes,Coraciidae (Rollers),Non-endemic,Forest,Least Concern,,West_Bengal
259,Coppersmith Barbet,Psilopogon haemacephalus,Low,Piciformes,Megalaimidae (Asian Barbets),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
260,Blue-eared Barbet,Psilopogon duvaucelii,Low,Piciformes,Megalaimidae (Asian Barbets),Non-endemic,Forest,Least Concern,,West_Bengal
261,Great Barbet,Psilopogon virens,Low,Piciformes,Megalaimidae (Asian Barbets),Non-endemic,Forest,Least Concern,,West_Bengal
262,Lineated Barbet,Psilopogon lineatus,Low,Piciformes,Megalaimidae (Asian Barbets),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
263,Brown-headed Barbet,Psilopogon zeylanicus,Low,Piciformes,Megalaimidae (Asian Barbets),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
264,Golden-throated Barbet,Psilopogon franklinii,Low,Piciformes,Megalaimidae (Asian Barbets),Non-endemic,Forest,Least Concern,,West_Bengal
265,Blue-throated Barbet,Psilopogon asiaticus,Low,Piciformes,Megalaimidae (Asian Barbets),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
266,Yellow-rumped Honeyguide,Indicator xanthonotus,Moderate,Piciformes,Indicatoridae (Honeyguides),Himalayas,Forest,Near Threatened,,West_Bengal
267,Eurasian Wryneck,Jynx torquilla,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Open Habitat,Least Concern,,West_Bengal
268,Speckled Piculet,Picumnus innominatus,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
269,White-browed Piculet,Sasia ochracea,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
270,Brown-capped Pygmy Woodpecker,Yungipicus nanus,Moderate,Piciformes,Picidae (Woodpeckers),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
271,Grey-capped Pygmy Woodpecker,Yungipicus canicapillus,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
272,Yellow-crowned Woodpecker,Leiopicus mahrattensis,High,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
273,Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
274,Fulvous-breasted Woodpecker,Dendrocopos macei,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
275,Darjeeling Woodpecker,Dendrocopos darjellensis,Moderate,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
276,Crimson-breasted Woodpecker,Dryobates cathpharius,Moderate,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
277,Bay Woodpecker,Blythipicus pyrrhotis,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
278,Greater Flameback,Chrysocolaptes guttacristatus,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
279,White-naped Woodpecker,Chrysocolaptes festivus,Moderate,Piciformes,Picidae (Woodpeckers),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
280,Rufous Woodpecker,Micropternus brachyurus,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
281,Pale-headed Woodpecker,Gecinulus grantia,Moderate,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
282,Himalayan Flameback,Dinopium shorii,Moderate,Piciformes,Picidae (Woodpeckers),Himalayas,Forest,Least Concern,,West_Bengal
283,Black-rumped Flameback,Dinopium benghalense,Low,Piciformes,Picidae (Woodpeckers),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
284,Lesser Yellownape,Picus chlorolophus,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
285,Streak-throated Woodpecker,Picus xanthopygaeus,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
286,Grey-headed Woodpecker,Picus canus,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
287,Greater Yellownape,Chrysophlegma flavinucha,Low,Piciformes,Picidae (Woodpeckers),Non-endemic,Forest,Least Concern,,West_Bengal
288,Collared Falconet,Microhierax caerulescens,Moderate,Falconiformes,Falconidae (Falcons and Caracaras),Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
289,Common Kestrel,Falco tinnunculus,High,Falconiformes,Falconidae (Falcons and Caracaras),Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
290,Red-necked Falcon,Falco chicquera,Moderate,Falconiformes,Falconidae (Falcons and Caracaras),Non-endemic,Open Habitat,Near Threatened,Appendix II,West_Bengal
291,Amur Falcon,Falco amurensis,Moderate,Falconiformes,Falconidae (Falcons and Caracaras),Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
292,Eurasian Hobby,Falco subbuteo,Low,Falconiformes,Falconidae (Falcons and Caracaras),Non-endemic,Open Habitat,Least Concern,Appendix II,West_Bengal
293,Oriental Hobby,Falco severus,Moderate,Falconiformes,Falconidae (Falcons and Caracaras),Non-endemic,Forest,Least Concern,Appendix II,West_Bengal
294,Saker Falcon,Falco cherrug,High,Falconiformes,Falconidae (Falcons and Caracaras),Non-endemic,Open Habitat,Endangered,Appendix II,West_Bengal
295,Peregrine Falcon,Falco peregrinus,Low,Falconiformes,Falconidae (Falcons and Caracaras),Non-endemic,Open Habitat,Least Concern,Appendix I,West_Bengal
296,Alexandrine Parakeet,Psittacula eupatria,Low,Psittaciformes,Psittaculidae (Old World Parrots),Non-endemic,Forest & Plantation,Near Threatened,Appendix II,West_Bengal
297,Rose-ringed Parakeet,Psittacula krameri,Low,Psittaciformes,Psittaculidae (Old World Parrots),Non-endemic,Non-specialized,Least Concern,,West_Bengal
298,Slaty-headed Parakeet,Psittacula himalayana,Low,Psittaciformes,Psittaculidae (Old World Parrots),Indian Subcontinent,Forest & Plantation,Least Concern,Appendix II,West_Bengal
299,Plum-headed Parakeet,Psittacula cyanocephala,Low,Psittaciformes,Psittaculidae (Old World Parrots),Indian Subcontinent,Forest,Least Concern,Appendix II,West_Bengal
300,Blossom-headed Parakeet,Psittacula roseata,Moderate,Psittaciformes,Psittaculidae (Old World Parrots),Non-endemic,Forest & Plantation,Near Threatened,Appendix II,West_Bengal
301,Red-breasted Parakeet,Psittacula alexandri,Low,Psittaciformes,Psittaculidae (Old World Parrots),Non-endemic,Forest,Near Threatened,Appendix II,West_Bengal
302,Vernal Hanging Parrot,Loriculus vernalis,Low,Psittaciformes,Psittaculidae (Old World Parrots),Non-endemic,Forest & Plantation,Least Concern,Appendix II,West_Bengal
303,Long-tailed Broadbill,Psarisomus dalhousiae,Low,Passeriformes,Eurylaimidae (Asian and Grauer's Broadbills),Non-endemic,Forest,Least Concern,,West_Bengal
304,Silver-breasted Broadbill,Serilophus lunatus,Moderate,Passeriformes,Eurylaimidae (Asian and Grauer's Broadbills),Non-endemic,Forest,Least Concern,,West_Bengal
305,Blue-naped Pitta,Hydrornis nipalensis,Moderate,Passeriformes,Pittidae (Pittas),Non-endemic,Forest,Least Concern,,West_Bengal
306,Indian Pitta,Pitta brachyura,Low,Passeriformes,Pittidae (Pittas),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
307,Hooded Pitta,Pitta sordida,Moderate,Passeriformes,Pittidae (Pittas),Non-endemic,Forest,Least Concern,,West_Bengal
308,Mangrove Pitta,Pitta megarhyncha,High,Passeriformes,Pittidae (Pittas),Non-endemic,Wetland,Near Threatened,,West_Bengal
309,Small Minivet,Pericrocotus cinnamomeus,Low,Passeriformes,Campephagidae (Cuckooshrikes),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
310,Short-billed Minivet,Pericrocotus brevirostris,Moderate,Passeriformes,Campephagidae (Cuckooshrikes),Non-endemic,Forest,Least Concern,,West_Bengal
311,Long-tailed Minivet,Pericrocotus ethologus,Low,Passeriformes,Campephagidae (Cuckooshrikes),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
312,Scarlet Minivet,Pericrocotus speciosus,Low,Passeriformes,Campephagidae (Cuckooshrikes),Non-endemic,Forest,Not Recognised,,West_Bengal
313,Rosy Minivet,Pericrocotus roseus,Low,Passeriformes,Campephagidae (Cuckooshrikes),Non-endemic,Forest,Least Concern,,West_Bengal
314,Large Cuckooshrike,Coracina macei,Moderate,Passeriformes,Campephagidae (Cuckooshrikes),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
315,Black-winged Cuckooshrike,Lalage melaschistos,Low,Passeriformes,Campephagidae (Cuckooshrikes),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
316,Black-headed Cuckooshrike,Lalage melanoptera,Low,Passeriformes,Campephagidae (Cuckooshrikes),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
317,Black-headed Shrike-babbler,Pteruthius rufiventer,Moderate,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Eastern Himalayas,Forest,Least Concern,,West_Bengal
318,White-browed Shrike-babbler,Pteruthius aeralatus,Low,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Non-endemic,Forest,Least Concern,,West_Bengal
319,Green Shrike-babbler,Pteruthius xanthochlorus,Low,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Non-endemic,Forest,Least Concern,,West_Bengal
320,Black-eared Shrike-babbler,Pteruthius melanotis,Low,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Non-endemic,Forest,Least Concern,,West_Bengal
321,White-bellied Erpornis,Erpornis zantholeuca,Low,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Non-endemic,Forest,Least Concern,,West_Bengal
322,Indian Golden Oriole,Oriolus kundoo,Low,Passeriformes,Oriolidae (Old World Orioles),Non-endemic,Non-specialized,Least Concern,,West_Bengal
323,Black-naped Oriole,Oriolus chinensis,Low,Passeriformes,Oriolidae (Old World Orioles),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
324,Slender-billed Oriole,Oriolus tenuirostris,High,Passeriformes,Oriolidae (Old World Orioles),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
325,Black-hooded Oriole,Oriolus xanthornus,Low,Passeriformes,Oriolidae (Old World Orioles),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
326,Maroon Oriole,Oriolus traillii,Low,Passeriformes,Oriolidae (Old World Orioles),Non-endemic,Forest,Least Concern,,West_Bengal
327,Ashy Woodswallow,Artamus fuscus,Low,Passeriformes,"Artamidae (Woodswallows, Bellmagpies, and Allies)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
328,Large Woodshrike,Tephrodornis virgatus,Moderate,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
329,Common Woodshrike,Tephrodornis pondicerianus,Moderate,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
330,Bar-winged Flycatcher-shrike,Hemipus picatus,Low,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
331,Common Iora,Aegithina tiphia,Low,Passeriformes,Aegithinidae (Ioras),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
332,White-throated Fantail,Rhipidura albicollis,Low,Passeriformes,Rhipiduridae (Fantails),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
333,White-browed Fantail,Rhipidura aureola,Moderate,Passeriformes,Rhipiduridae (Fantails),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
334,Black Drongo,Dicrurus macrocercus,Low,Passeriformes,Dicruridae (Drongos),Non-endemic,Open Habitat,Least Concern,,West_Bengal
335,Ashy Drongo,Dicrurus leucophaeus,Low,Passeriformes,Dicruridae (Drongos),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
336,White-bellied Drongo,Dicrurus caerulescens,Moderate,Passeriformes,Dicruridae (Drongos),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
337,Bronzed Drongo,Dicrurus aeneus,Low,Passeriformes,Dicruridae (Drongos),Non-endemic,Forest,Least Concern,,West_Bengal
338,Lesser Racket-tailed Drongo,Dicrurus remifer,Moderate,Passeriformes,Dicruridae (Drongos),Non-endemic,Forest,Least Concern,,West_Bengal
339,Hair-crested Drongo,Dicrurus hottentottus,Moderate,Passeriformes,Dicruridae (Drongos),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
340,Greater Racket-tailed Drongo,Dicrurus paradiseus,Low,Passeriformes,Dicruridae (Drongos),Non-endemic,Forest,Least Concern,,West_Bengal
341,Black-naped Monarch,Hypothymis azurea,Low,Passeriformes,Monarchidae (Monarch Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
342,Indian Paradise-flycatcher,Terpsiphone paradisi,Low,Passeriformes,Monarchidae (Monarch Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
343,Brown Shrike,Lanius cristatus,Low,Passeriformes,Laniidae (Shrikes),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
344,Bay-backed Shrike,Lanius vittatus,Low,Passeriformes,Laniidae (Shrikes),Non-endemic,Open Habitat,Least Concern,,West_Bengal
345,Long-tailed Shrike,Lanius schach,Low,Passeriformes,Laniidae (Shrikes),Non-endemic,Open Habitat,Least Concern,,West_Bengal
